Wearable_Korean,Fitbit_MCI,Notes,Notes
sleep_awake,deep_count,,Possibly no. of continous deep sleep segments
sleep_bedtime_end,deep_minutes,,
sleep_bedtime_start,deep_thirtyDayAvgMinutes,,Possibly average no. of deep sleep minutes from day 0 to current day
sleep_breath_average,light_count,,
sleep_deep,light_minutes,,
sleep_duration,light_thirtyDayAvgMinutes,,
sleep_efficiency,rem_count,,
sleep_hr_5min,rem_minutes,,
sleep_hr_average,rem_thirtyDayAvgMinutes,,
sleep_hr_lowest,wake_count,,
sleep_hypnogram_5min,wake_minutes,,
sleep_is_longest,wake_thirtyDayAvgMinutes,,
sleep_light,asleep_count,,
sleep_midpoint_at_delta,asleep_minutes,,
sleep_midpoint_time,awake_count,,
sleep_onset_latency,awake_minutes,,
sleep_period_id,restless_minutes,,
sleep_rem,restless_count,,
sleep_restless,,,
sleep_rmssd,,,
sleep_rmssd_5min,,,
sleep_score,,,
sleep_score_alignment,,,
sleep_score_deep,,,
sleep_score_disturbances,,,
sleep_score_efficiency,,,
sleep_score_latency,,,
sleep_score_rem,,,
sleep_score_total,,,
sleep_temperature_delta,,,
sleep_temperature_deviation,,,
sleep_total,,,
CONVERT(sleep_hr_5min USING utf8),,,
CONVERT(sleep_hypnogram_5min USING utf8),,,
CONVERT(sleep_rmssd_5min USING utf8),,,
sleep_hr_max,,,
sleep_hr_median,,,
sleep_hypnogram_average,,,
start1,,,
start2,,,
start3,,,
start4,,,
start5,,,
start6,,,
end1,,,
end2,,,
end3,,,
end4,,,
end5,,,
end6,,,
date,,,
